,Total PV Energy
801,603.6393350000001
802,543.622062
803,517.51067
804,584.3404979999999
805,624.654886
806,434.65204299999994
807,561.839374
808,549.1081770000001
809,610.673979
810,519.3091029999999
811,419.13675900000004
812,441.988406
813,453.698352
814,518.659093
815,604.3294949999998
816,574.381585
817,618.820253
818,616.9723130000001
819,658.33277
820,642.733919
821,632.092922
822,647.2653600000001
823,641.230844
824,624.7916379999999
825,639.1208409999999
826,642.9769170000001
827,639.4503259999999
828,627.543713
829,640.300632
830,624.1105250000002
831,417.742615
832,416.55590300000006
833,420.57546
834,630.844253
835,596.319581
836,605.0768730000001
837,630.800112
838,607.5083050000001
839,581.8607219999999
840,603.3174099999999
841,597.7080170000002
842,591.333692
843,628.2013219999999
844,617.522273
845,615.891115
846,605.178095
847,580.14684
848,582.036233
849,609.781514
850,620.0310560000001
851,648.6365149999999
852,588.248312
853,659.2709910000001
854,594.028797
855,579.156617
856,585.300611
857,634.569092
858,594.5187649999999
859,625.9433819999999
860,604.938978
861,617.9092850000001
862,616.168372
863,604.7237490000001
864,606.9346699999999
865,653.675132
866,635.3481299999999
867,666.574399
868,463.234021
869,502.17018799999994
870,466.628869
871,467.484969
872,468.832173
873,471.023884
874,505.714375
875,473.359927
876,475.410938
877,506.29718699999995
878,456.70511000000005
879,465.33764099999996
880,475.38483
881,465.692208
882,464.808197
883,490.79335000000003
884,473.00361
885,465.21828700000003
886,475.40107800000004
887,503.849177
888,465.35101799999995
889,472.75460200000003
890,467.65911600000004
891,465.24494300000003
892,483.227446
893,467.552484
894,504.98070800000005
895,501.30176300000005
896,466.79270900000006
897,504.512434
898,591.1201189999999
899,528.289246
900,594.25418
901,596.842745
902,415.412685
903,573.0175469999999
904,527.008049
905,450.69881599999997
906,616.0331239999999
907,453.01684600000004
908,618.532367
909,621.2713420000001
910,639.2799590000001
911,641.6931880000001
912,629.347347
913,635.346394
914,610.8858570000001
915,625.656729
916,642.4389600000001
917,417.818924
918,420.64020099999993
919,425.49167700000004
920,411.833221
921,414.809386
922,426.82633
923,411.82762099999997
924,414.230505
925,411.67827100000005
926,418.82797099999993
927,423.916868
928,436.620584
929,414.51560699999993
930,414.615485
931,411.95126300000004
932,438.804711
933,537.731913
934,562.3358280000001
935,572.88878
936,543.770699
937,517.7262860000001
938,493.809365
939,541.7704
940,454.489044
941,533.3020589999999
942,523.442157
943,560.939452
944,456.08522400000004
945,495.65778300000005
946,494.4635329999999
947,498.680705
948,503.367698
949,545.547603
950,511.235881
951,526.6211420000001
952,587.663112
953,594.372
954,499.866902
955,587.07717
956,523.9018599999999
957,566.934711
958,547.347298
959,574.751671
960,550.4429309999999
961,548.858103
962,520.611538
963,530.4350019999999
964,421.15601599999997
965,450.2170499999999
966,622.5442020000002
967,614.7194879999998
968,562.772842
969,440.42839299999997
970,619.2910089999999
971,419.19300799999996
972,600.010394
973,562.210754
974,419.38263900000004
975,573.566472
976,631.497273
977,621.880701
978,622.212945
979,448.641723
980,617.72631
981,453.952934
982,590.4231609999999
983,543.907171
984,626.774756
985,634.206882
986,641.9668979999999
987,633.695287
988,641.44316
989,645.208664
990,641.1333070000001
991,609.431263
992,635.3542020000001
993,622.33539
994,623.1852559999999
995,639.825438
996,642.2549849999999
997,623.4086850000001
998,636.7026020000001
999,626.855037
1000,631.7375870000001
1001,622.1486499999999
1002,641.668306
1003,416.39831300000003
1004,416.993583
1005,423.169605
1006,411.84289900000005
1007,423.40004899999997
1008,419.41686599999997
1009,582.9107409999999
1010,583.679207
1011,585.67875
1012,619.8541969999999
1013,637.519326
1014,582.840963
1015,629.6051540000001
1016,598.0649470000001
1017,666.3297210000001
1018,612.4520170000001
1019,609.8486260000001
1020,619.1161139999999
1021,619.490243
1022,616.331898
1023,617.966021
1024,598.8962530000001
1025,602.376131
1026,601.637672
1027,607.2318429999999
1028,607.361863
1029,610.0584029999999
1030,622.0628049999999
1031,627.3306039999999
1032,614.0253899999999
1033,593.729217
1034,648.223254
1035,587.980763
1036,651.4172639999999
1037,535.339823
1038,614.453875
1039,568.653573
1040,597.30477
1041,595.723027
1042,468.54137
1043,479.841965
1044,458.354957
1045,474.14225700000003
1046,478.888403
1047,465.180723
1048,469.59696899999994
1049,465.535652
1050,465.717528
1051,494.825735
1052,465.3643200000001
1053,499.92489400000005
1054,464.58543
1055,473.129312
1056,465.450841
1057,500.66218299999997
1058,462.00793400000003
1059,476.00225900000004
1060,459.17726400000004
1061,465.51735699999995
1062,464.00650199999995
1063,476.966983
1064,516.053556
1065,473.6651490000001
1066,459.909184
1067,485.77117300000003
1068,502.870717
1069,475.586999
1070,481.865915
1071,473.978332
1072,514.313673
1073,628.423426
1074,641.0729839999999
1075,417.136383
1076,619.2695839999999
1077,446.01631
1078,615.483426
1079,430.361253
1080,514.369474
1081,622.4287310000001
1082,558.7275330000001
1083,552.443917
1084,412.15036100000003
1085,418.24187900000004
1086,437.732511
1087,436.966542
1088,442.14832199999995
1089,418.414018
1090,429.06534199999993
1091,411.13248100000004
1092,437.31464
1093,439.537403
1094,428.704421
1095,414.358781
1096,418.114146
1097,414.7246490000001
1098,415.550577
1099,497.31166099999996
1100,459.579839
1101,556.1718609999999
1102,556.0632609999999
1103,522.941219
1104,448.090529
1105,553.672952
1106,564.5977069999999
1107,574.0316650000001
1108,444.803045
1109,559.428943
1110,511.91760800000003
1111,517.573689
1112,579.1684180000001
1113,561.586181
1114,542.5333320000001
1115,584.115212
1116,550.534898
1117,523.249587
1118,572.4681290000001
1119,528.297533
1120,443.25907
1121,532.794888
1122,599.2147959999999
1123,440.393974
1124,558.833394
1125,446.200209
1126,571.2841
1127,624.3518889999999
1128,449.52239399999996
1129,622.500908
1130,603.84861
1131,584.1021329999999
1132,615.59254
1133,552.664514
1134,539.625317
1135,601.6215719999999
1136,450.99154599999997
1137,534.733347
1138,416.155795
1139,420.56805099999997
1140,579.5915780000001
1141,537.297942
1142,616.1350550000001
1143,643.499223
1144,637.9954150000001
1145,622.797634
1146,624.4185729999999
1147,639.8556219999999
1148,613.247755
1149,624.359028
1150,622.9460479999999
1151,642.764451
1152,640.091315
1153,642.87713
1154,623.399139
1155,643.7052370000001
1156,641.0033559999999
1157,630.514211
1158,650.763505
1159,647.4233300000001
1160,642.698168
1161,604.810379
1162,646.901883
1163,622.7301659999999
1164,646.269605
1165,629.1459960000001
1166,623.2893290000001
1167,623.52979
1168,626.729442
1169,626.4614569999999
1170,625.811795
1171,617.247866
1172,614.17873
1173,631.900994
1174,640.3442969999999
1175,420.702647
1176,422.03099199999997
1177,422.830772
1178,423.54049599999996
1179,418.345744
1180,416.410272
1181,418.83820299999996
1182,633.75238
1183,626.228345
1184,618.220553
1185,613.3016739999999
1186,605.380725
1187,618.122186
1188,594.308513
1189,592.741438
1190,562.402728
1191,591.1644960000001
1192,609.6541589999999
1193,566.528079
1194,618.4058630000001
1195,611.279273
1196,630.078528
1197,618.500748
1198,590.028919
1199,619.0048760000002
1200,628.1715310000001
1201,608.437329
1202,626.5995869999999
1203,615.2051799999999
1204,571.6164469999999
1205,616.1922940000001
1206,617.7515329999999
1207,608.684063
1208,601.5698950000001
1209,614.782474
1210,591.0896669999998
1211,608.173669
1212,585.7366499999999
1213,613.4078589999999
1214,608.233583
1215,619.4544960000001
1216,618.07458
1217,608.7920919999999
1218,481.030286
1219,494.374439
1220,465.2777
1221,472.995384
1222,507.266138
1223,478.691958
1224,481.864489
1225,468.452833
1226,500.36271600000003
1227,489.8265
1228,442.572586
1229,465.431947
1230,473.535778
1231,466.196273
1232,503.62229099999996
1233,471.25866799999994
1234,500.328672
1235,486.52243300000004
1236,465.325429
1237,465.672582
1238,509.44910400000003
1239,641.4124670000001
1240,473.88955899999996
1241,469.362012
1242,469.56211699999994
1243,517.3389540000001
1244,465.71309699999995
1245,463.00933299999997
1246,499.54485999999997
1247,456.285023
1248,471.16162499999996
1249,456.79467900000003
1250,472.069523
1251,473.11893599999996
1252,529.654042
1253,530.4392079999999
1254,598.011008
1255,505.364002
1256,505.074642
1257,640.1212999999999
1258,465.605605
1259,469.902664
1260,459.603524
1261,465.348336
1262,623.241055
1263,626.989199
1264,472.172642
1265,619.341712
1266,465.704284
1267,556.967984
1268,496.45881
1269,624.728065
1270,430.473068
1271,414.502306
1272,412.086267
1273,414.136368
1274,414.251833
1275,419.92869199999996
1276,430.098348
1277,441.2676149999999
1278,411.66751200000004
1279,423.27277000000004
1280,438.948642
1281,429.97375
1282,424.816136
1283,415.08077000000003
1284,430.188653
1285,438.150726
1286,413.76119100000005
1287,438.48600700000003
1288,441.043914
1289,520.2687920000001
1290,567.9362199999999
1291,535.761668
1292,456.303291
1293,512.7131439999999
1294,495.04192700000004
1295,574.295383
1296,567.914018
1297,517.960068
1298,550.178578
1299,515.893881
1300,555.192132
1301,536.350149
1302,564.862498
1303,457.16330200000004
1304,529.5776020000001
1305,518.838864
1306,551.1362290000001
1307,522.865879
1308,554.854875
1309,521.13867
1310,561.8534330000001
1311,523.916426
