,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
17265,MG_Diesel2012,,246,1540.396312111296,99.0,99.0,99.0,0.16361752,Grid2025,0.16361752,5917.953,0.0,0.0,0.0,387.65195,1742800.8,180.83937,1070198.9,0.15811907,22591.826,16673.873,-62.617504000000004,-16.90877
17267,MG_Diesel2012,Lowlands,260,545.5701768580759,99.0,0.36753708,99.0,0.20800875,Grid2025,0.20800875,2095.9922,0.0,0.0,0.0,68.023026,422130.03,131.81125,276275.38,0.026353177000000002,11199.603000000001,9103.61,-59.752359999999996,-18.33251
17269,MG_Diesel2012,,890,1675.7945156735461,99.0,99.0,99.0,0.14541146,Grid2025,0.14541146,6438.1313,0.0,0.0,0.0,826.992,3304273.0,295.8281,1904580.1,0.047866773,33653.844,27215.71,-63.525265000000005,-20.037619
17270,MG_Diesel2012,,115,937.3993217655417,99.0,99.0,99.0,0.15964808,Grid2025,0.15964808,3601.3364,0.0,0.0,0.0,289.44415,1269709.6,213.8624,770190.44,0.002196098,16464.607,12863.271,-57.803978,-18.970748999999998
17273,MG_Diesel2012,,2042,707.3964223487848,99.0,99.0,99.0,0.149424,Grid2025,0.149424,2717.7024,0.0,0.0,0.0,310.56555,1275115.8,274.70538,746567.44,0.15530108,13671.587,10953.883999999998,-64.10583000000001,-18.489527
17276,MG_Diesel2012,,416,1705.4657612056335,99.0,99.0,99.0,0.14529955,Grid2025,0.14529955,6552.1230000000005,0.0,0.0,0.0,839.71735,3352535.2,294.79367,1931524.5,0.060392695999999996,34855.437999999995,28303.314,-64.33671,-22.73208
17281,MG_Diesel2012,Lowlands,249,112.47688006100695,99.0,0.51535714,99.0,0.29267526,Grid2025,0.29267526,384.56903,0.0,0.0,0.0,15.966035,129134.32,250.33667000000003,96271.734,0.34779733,1103.8488,719.2798,-59.449206999999994,-16.318935
17284,MG_Diesel2012,SHS,439,30.52588277090871,0.35,99.0,99.0,0.3236933,Grid2025,0.3236933,104.37086500000001,0.0,0.0,0.0,4.856549299999999,43195.402,315.7183,32951.793,3.2995656,514.2932,409.92233,-60.465775,-17.936293
17315,SA_Diesel2012,Lowlands,196,55.42263088118682,99.0,0.676449,99.0,0.6164810000000001,Grid2025,0.6164810000000001,189.4952,0.0,0.0,0.0,9.1619425,143024.17,636.8194599999999,120674.22,3.4523572999999996,196.51854,7.0233479999999995,-64.96770500000001,-16.372648
17340,Non,Highlands,3590,79.48917134772826,99.0,99.0,0.56437725,0.48899564,Grid2025,0.48899564,271.78094,0.0,0.0,0.0,14.894425,188406.1,569.9967,154914.25,4.8754907,271.78094,0.0,-66.112175,-16.964394
17349,SA_Diesel2012,Lowlands,218,77.22546229088323,99.0,0.61494637,99.0,0.41762559999999993,Grid2025,0.41762559999999993,264.0411,0.0,0.0,0.0,11.81312,130279.36,396.27402,104632.64,0.42589456,267.5997,3.5585887,-65.234955,-16.651958
17352,SA_PV2012,Lowlands,226,95.56606799522505,99.0,0.5897183000000001,99.0,0.4227803,Grid2025,0.4227803,326.7494,0.0,0.0,0.0,13.960885000000001,160321.69,392.63165,128292.14,1.7732898000000001,330.3184,3.5690142999999996,-65.51733399999999,-16.659273000000002
17353,SA_PV2012,Lowlands,214,67.49678354042229,99.0,0.67397046,99.0,0.44529440000000003,Grid2025,0.44529440000000003,230.77785,0.0,0.0,0.0,10.654413,123024.69,433.28137000000004,99991.75,0.0119816875,275.9622,45.18435,-65.392685,-16.625908
17357,SA_Diesel2012,Lowlands,234,66.8611461433278,99.0,0.6453268,99.0,0.43016049999999995,Grid2025,0.43016049999999995,228.60455,0.0,0.0,0.0,10.577611,117840.875,417.216,95377.48,0.0022054801,242.51224,13.907688,-65.428,-16.799953
17368,SA_PV2012,Lowlands,226,132.5518120456914,99.0,0.5599132,99.0,0.35966750000000003,Grid2025,0.35966750000000003,453.20712000000003,0.0,0.0,0.0,18.414621,185169.72,316.6753,143519.5,0.0043569775,543.5619,90.3548,-65.36334000000001,-16.604422
