,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SA_PV_2025,LCOE_MG_PV_2025,LCOE_MG_Diesel_2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
7259,SA_Diesel2012,SHS,272,4.719411795370915,0.707082,99.0,99.0,99.0,SA_PV_2025,0.707082,16.136112,1.545391,14587.913999999999,867.6437400000001,14000.396999999999,0.0,-61.34969,-17.827976
7260,MG_Diesel2012,Lowlands,276,61.73512895530379,99.0,0.5796024000000001,0.5539147,0.38198766,Grid2025,0.38198766,211.07822000000002,9.295952,97463.78,363.04147,76630.15,383.60315,-59.897372999999995,-16.297054
7261,Non,SHS,415,42.801861508429454,0.48111615,99.0,99.0,99.0,SA_PV_2025,0.48111615,146.3436,14.408345,90021.89,590.36633,86396.33,0.0,-61.766914,-16.193657
7270,SA_PV2012,SHS,2383,45.67187321178315,0.42648630000000004,99.0,99.0,99.0,SA_PV_2025,0.42648630000000004,156.15643,13.628732000000001,85150.945,523.33136,81721.555,0.0,-64.48338000000001,-21.389984
7272,MG_Diesel2012,SHS,542,45.12485833723704,0.6485938,99.0,99.0,0.32721290000000003,Grid2025,0.32721290000000003,154.28613,7.187061,64547.855,319.92337000000003,49359.742,0.14494845,-64.40681500000001,-22.546442000000003
7273,MG_Diesel2012,Highlands,1095,83.34091414875691,99.0,0.4687441,0.47610942,0.31135840000000004,Grid2025,0.31135840000000004,284.95044,14.666789999999999,125341.74,333.0052,94889.97,0.24257202,-64.23292,-21.775387
7274,Non,SHS,815,7.337461970784513,0.42394670000000007,99.0,99.0,99.0,SA_PV_2025,0.42394670000000007,25.087473000000003,2.1764997999999998,13598.553,520.2151,13050.881000000001,0.0,-64.54205,-22.314083
7277,SA_PV2012,SHS,3614,6.944638474425732,0.44857442,99.0,99.0,99.0,SA_PV_2025,0.44857442,23.744370999999997,1.9119026999999997,13618.198999999999,550.4351,13069.737,0.0,-65.29681,-21.935688
7281,MG_Diesel2012,SHS,525,20.48931538794372,0.48882508,99.0,99.0,0.43177970000000004,Grid2025,0.43177970000000004,70.05489,3.2633445,38674.547,442.2461,30981.504,0.0032553445,-64.41821,-22.581665
7293,Non,SHS,1234,8.56037229876114,0.43463279999999993,99.0,99.0,99.0,SA_PV_2025,0.43463279999999993,29.268719,2.6032547999999998,16264.874,533.32776,15609.819,0.0,-64.0329,-21.532648000000002
7296,SA_PV2012,SHS,548,19.770021345990678,0.43529272,99.0,99.0,99.0,SA_PV_2025,0.43529272,67.595566,6.021297,37620.457,534.13745,36105.324,0.0,-63.919765000000005,-21.159792000000003
7301,SA_Diesel2012,SHS,2710,8.766877603659138,0.40745038,99.0,99.0,99.0,SA_PV_2025,0.40745038,29.97478,2.4993162,15615.476999999999,499.9728,14986.575,0.0,-64.93186,-21.706951
7304,SA_Diesel2012,SHS,760,4.9047135845564185,0.5920211,99.0,99.0,99.0,SA_PV_2025,0.5920211,16.769678,1.7821018,12693.646,726.4552,12182.419,0.0,-67.070656,-15.305135
7306,SA_PV2012,SHS,2902,21.425112993170398,0.42148465,99.0,99.0,99.0,SA_PV_2025,0.42148465,73.25448,6.31839,39476.664,517.194,37886.773,0.0,-65.91505,-17.855232
7307,MG_Diesel2012,SHS,144,20.643531589080673,0.5323025,99.0,99.0,99.0,SA_PV_2025,0.5323025,70.58218000000001,7.688542999999999,48037.242,653.1759599999999,46102.582,0.0,-64.83414,-12.126156
7310,SA_PV2012,Highlands,4110,58.194781095680725,99.0,0.6054744000000001,0.60541195,0.48160607,Grid2025,0.48160607,198.97343,10.558489999999999,139570.56,570.1842,113451.51,0.17349175,-66.23485,-17.247436999999998
7311,Non,SHS,2341,1.2229103285615772,0.42970595,99.0,99.0,99.0,SA_PV_2025,0.42970595,4.1812453000000005,0.36767787,2297.2144,527.2821,2204.6958,0.0,-65.37043,-18.116964000000003
7312,SA_PV2012,SHS,1219,14.075595141774624,0.438512,99.0,99.0,99.0,SA_PV_2025,0.438512,48.125786,4.318668,26982.602000000003,538.0878,25895.897999999997,0.0,-63.748974,-19.853558
7319,SA_PV2012,Highlands,1014,71.78082382329562,99.0,0.5753348,0.53717625,0.39450017,Grid2025,0.39450017,245.42538,12.778137,138361.34,445.55414,109350.3,0.0074038993999999995,-67.61766999999999,-15.657934
7328,SA_PV2012,SHS,4055,14.769479064256105,0.6364878,99.0,99.0,99.0,SA_PV_2025,0.6364878,50.498238,4.353473999999999,41095.17,781.0192,39440.094,0.0,-68.78745,-16.059995999999998
7332,SA_PV2012,SHS,134,45.295171202796936,0.54072875,99.0,99.0,99.0,SA_PV_2025,0.54072875,154.86845,17.136927,107069.79,663.5156,102757.63,0.0,-66.18626400000001,-10.826333
7333,Non,SHS,3814,6.114551642807884,0.38773865,99.0,99.0,99.0,SA_PV_2025,0.38773865,20.906226999999998,1.6588428,10364.283000000001,475.785,9946.869,0.0,-66.20164,-18.889103
7335,SA_PV2012,SHS,3405,5.736833226574318,0.45554540000000004,99.0,99.0,99.0,SA_PV_2025,0.45554540000000004,19.614773,1.6039305,11424.56,558.9891,10964.443000000001,0.0,-66.11171999999999,-18.365038000000002
7338,MG_Diesel2012,Highlands,949,68.78290159684569,99.0,0.44194317,0.44018182,0.27577004,Grid2025,0.27577004,235.17522000000002,12.288345,93012.336,291.35675,68519.89,0.041574362999999996,-63.529675,-19.422886
7339,SA_Diesel2012,Lowlands,245,316.35548329599783,99.0,0.48382002,0.46041909999999997,0.29672194,Grid2025,0.29672194,1081.6492,43.313835,352757.62,244.35646,264307.97,0.037333667,-64.29535,-17.081570000000003
7343,MG_Diesel2012,SHS,856,10.030021154785523,0.5012854999999999,99.0,99.0,99.0,SA_PV_2025,0.5012854999999999,34.293587,3.0858061,21979.74,615.1156599999999,21094.521,0.0,-63.544426,-19.980972
7344,MG_Diesel2012,SHS,268,5.114268102129745,0.52631056,99.0,99.0,99.0,SA_PV_2025,0.52631056,17.486164000000002,1.6519893,11766.875,645.82336,11292.973999999998,0.0,-59.77778000000001,-18.341368
7346,SA_Diesel2012,Lowlands,242,67.52699369482322,99.0,0.6276866,0.60403717,0.4679526,Grid2025,0.4679526,230.88115,10.069758,129336.47,453.68552,104747.43,0.0707918,-64.309715,-17.08
7347,SA_PV2012,SHS,240,12.434592182388993,0.47735167,99.0,99.0,99.0,SA_PV_2025,0.47735167,42.51504,4.153092,25948.1,585.7471,24903.058999999997,0.0,-62.914288,-16.609474
7350,MG_Diesel2012,SHS,1097,5.747872688824176,0.6515105,99.0,99.0,0.60625213,Grid2025,0.60625213,19.652517,0.91546685,15233.368999999999,646.3446700000001,12702.3,0.13894373,-64.20488,-21.699291
7353,SA_PV2012,SHS,221,7.5429508675577335,0.52663636,99.0,99.0,99.0,SA_PV_2025,0.52663636,25.790058,2.7794166000000002,17365.516,646.2231400000001,16666.133,0.0,-62.576378000000005,-13.722041
7354,SA_PV2012,Lowlands,194,98.27836185556599,99.0,0.5648645,0.5198583999999999,0.37460566,Grid2025,0.37460566,336.02297999999996,14.178214,145779.33,340.00113,114248.19,0.0044109602,-66.53647,-14.9928255
7355,SA_PV2012,SHS,195,11.828148547656784,0.5144016,99.0,99.0,99.0,SA_PV_2025,0.5144016,40.44155,4.2571664,26598.346,631.21014,25527.117000000002,0.0,-65.86179,-15.69621
7358,SA_Diesel2012,Lowlands,198,57.88064839047365,99.0,0.6257408,0.5758069,99.0,MG_Diesel_2025,0.5758069,197.89938,10.248663,138777.84,389.55832000000004,77093.35,0.0,-66.64683000000001,-14.78716
7359,MG_Diesel2012,SHS,163,9.212131179718485,0.6163829000000001,99.0,99.0,0.5998335,Grid2025,0.5998335,31.497142999999998,1.4672211000000002,24156.076,638.8362,20121.514,204.65436,-66.68972,-12.676806
7360,SA_PV2012,SHS,276,27.121712987235757,0.5144209,99.0,99.0,99.0,SA_PV_2025,0.5144209,92.73169,9.761966000000001,60991.78,631.2339,58535.383,0.0,-66.34125999999999,-15.903509
