,Total GHI Energy
1145,2495.772
1146,2502.069
1147,2562.29
1148,2446.294
1149,2505.459
1150,2499.271
1151,2567.501
1152,2571.441
1153,2567.573
1154,2477.777
1155,2570.38
1156,2559.619
1157,2537.326
1158,2628.016
1159,2604.696
1160,2567.872
1161,2414.482
1162,2581.598
1163,2501.57
1164,2586.658
1165,2487.542
1166,2497.654
1167,2503.047
1168,2503.02
1169,2492.897
1170,2493.421
1171,2474.45
1172,2448.751
1173,2541.702
1174,2575.97
1175,1803.166
1176,1808.841
1177,1817.917
1178,1813.765
1179,1794.843
1180,1785.766
1181,1794.817
1182,2524.548
1183,2482.318
1184,2475.301
1185,2447.9
1186,2424.7
1187,2480.414
1188,2389.096
1189,2382.773
1190,2297.576
1191,2385.666
1192,2438.165
1193,2300.418
1194,2464.273
1195,2440.943
1196,2510.597
1197,2481.076
1198,2383.437
1199,2476.971
1200,2510.71
1201,2451.442
1202,2499.398
1203,2460.152
1204,2334.611
1205,2452.889
1206,2473.84
1207,2435.984
1208,2415.314
1209,2451.262
1210,2385.839
1211,2441.749
1212,2361.026
1213,2441.982
1214,2444.12
1215,2468.742
1216,2474.116
1217,2442.739
1218,2035.676
1219,2113.387
1220,1991.107
1221,2021.301
1222,2154.92
1223,2071.953
1224,2063.882
1225,2010.445
1226,2142.099
1227,2092.686
1228,1906.788
1229,1998.809
1230,2045.165
1231,2000.386
1232,2147.072
1233,2026.658
1234,2093.205
1235,2097.866
1236,1991.763
1237,1992.952
1238,2124.876
1239,2583.707
1240,2042.519
1241,2014.301
1242,2016.699
1243,2187.072
1244,1993.226
1245,1991.422
1246,2065.449
1247,1960.063
1248,2044.158
1249,1958.115
1250,2030.478
1251,2040.054
1252,2202.8
1253,2201.927
1254,2392.885
1255,2160.756
1256,2148.777
1257,2540.587
1258,1993.44
1259,2016.957
1260,1970.576
1261,1991.883
1262,2504.814
1263,2508.014
1264,2018.611
1265,2477.929
1266,1993.264
1267,2283.059
1268,2067.941
1269,2497.632
1270,1833.028
1271,1759.318
1272,1764.056
1273,1776.78
1274,1765.838
1275,1778.46
1276,1826.175
1277,1887.747
1278,1770.149
1279,1809.709
1280,1874.916
1281,1834.838
1282,1815.917
1283,1781.024
1284,1822.078
1285,1853.061
1286,1777.461
1287,1850.503
1288,1883.242
1289,2079.758
1290,2299.607
1291,2197.487
1292,1940.451
1293,2047.493
1294,2029.14
1295,2323.429
1296,2282.975
1297,2094.371
1298,2225.977
1299,2086.925
1300,2216.289
1301,2147.917
1302,2293.241
1303,1943.495
1304,2132.585
1305,2128.179
1306,2230.679
1307,2114.35
1308,2271.782
1309,2174.423
1310,2285.787
1311,2192.107
1312,2158.315
1313,2162.278
1314,2498.646
1315,2469.599
1316,2447.765
1317,2119.411
1318,1879.402
1319,2471.153
1320,2505.755
1321,2263.962
1322,1963.899
1323,1860.768
1324,2489.03
1325,2507.639
1326,2071.581
1327,2397.094
1328,2265.182
1329,2388.18
1330,2046.707
1331,2125.839
1332,2468.816
1333,2612.887
1334,2512.305
1335,2406.435
1336,2545.865
1337,2483.239
1338,2602.925
1339,2555.943
1340,2502.368
1341,2592.953
1342,2485.851
1343,2504.826
1344,2505.037
1345,2491.654
1346,2491.389
1347,2570.412
1348,2508.408
1349,2572.481
1350,2562.751
1351,1808.502
1352,2339.654
1353,2441.191
1354,2437.228
1355,2444.547
1356,2367.542
1357,2518.59
1358,2489.604
1359,2316.408
1360,2403.608
1361,2338.891
1362,2451.866
1363,2377.533
1364,2467.889
1365,2566.857
1366,2460.152
1367,2417.022
1368,2432.948
1369,2472.284
1370,2379.236
1371,2456.705
1372,2388.475
1373,2391.271
1374,2460.72
1375,2448.541
1376,2398.63
1377,2403.599
1378,2430.013
1379,2464.884
1380,2314.967
1381,2488.41
1382,2335.185
1383,2448.108
1384,2417.353
1385,2451.141
1386,2367.704
1387,2019.027
1388,1990.537
1389,1991.146
1390,1969.938
1391,1993.004
1392,2170.76
1393,1996.931
1394,2113.794
1395,1997.929
1396,2043.46
1397,2032.648
1398,1993.33
1399,1993.629
1400,2050.676
1401,2175.524
1402,1998.83
1403,2046.758
1404,2152.321
1405,1990.976
1406,1995.532
1407,2014.033
1408,2086.799
1409,2082.289
1410,2039.27
1411,1993.207
1412,2082.218
1413,1993.876
1414,1993.162
1415,2035.106
1416,2151.526
1417,2004.587
1418,1992.591
1419,1962.605
1420,2036.035
1421,2095.46
1422,2053.223
1423,2001.01
1424,2246.093
1425,2325.416
1426,2378.593
1427,2198.868
1428,2340.298
1429,2015.053
1430,2180.154
1431,2028.92
1432,2387.593
1433,2091.211
1434,2042.524
1435,1896.48
1436,1821.584
1437,1778.094
1438,1794.143
1439,1824.845
1440,1757.132
1441,1798.734
1442,1817.953
1443,1811.199
1444,1845.917
1445,1820.093
1446,1793.538
1447,1830.473
1448,1768.407
1449,1768.644
1450,2264.528
1451,2342.809
1452,2089.924
1453,2392.617
1454,2287.593
1455,2306.825
1456,2097.68
1457,2137.617
1458,2053.062
1459,2060.51
