,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
223,1500,550,0.2,5500,1480,0.314,9.89,0.62696,18.582403199585006,468.9511372532925
224,1500,550,0.2,5500,1480,0.314,9.89,0.610784,5.162632577116341,465.526046987992
225,1500,550,0.2,5500,1480,0.314,9.89,0.621568,6.114551642807885,465.2100882916181
226,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,11.341670137827155,467.7087657678226
227,1500,550,0.2,5500,1480,0.314,9.89,0.602696,13.731136099929179,512.889931643115
228,1500,550,0.2,5500,1480,0.314,9.89,0.6,45.68920171478792,574.1035740922932
229,1500,550,0.2,5500,1480,0.314,9.89,0.632352,4.5149393023353435,437.31867659221604
230,1500,550,0.2,5500,1480,0.314,9.89,0.72132,0.41301060511639687,523.4806901575579
231,1500,550,0.2,5500,1480,0.314,9.89,0.670096,1.6349045287704231,412.22745911966916
232,1500,550,0.2,5500,1480,0.314,9.89,0.610784,0.20650530255819843,615.2128655892212
233,1500,550,0.2,5500,1480,0.314,9.89,0.61348,4.497801408885327,420.31147116554337
234,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,12.638048269347115,575.2674961772867
235,1500,550,0.2,5500,1480,0.314,9.89,0.610784,4.336611351674848,465.88097439027365
236,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,40.44582075119203,478.5953713861233
237,1500,550,0.2,5500,1480,0.314,9.89,0.618872,15.897834272470403,624.6657149379188
238,1500,550,0.2,5500,1480,0.314,9.89,0.6,93.69204181451731,564.1648148944643
239,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,12.638048269347115,437.3407884812101
240,1500,550,0.2,5500,1480,0.314,9.89,0.621568,1.222910328561577,415.20078217231713
241,1500,550,0.2,5500,1480,0.314,9.89,0.62696,57.071196452308776,431.9098263804634
242,1500,550,0.2,5500,1480,0.314,9.89,0.61348,0.6195159073821203,413.61301201815735
243,1500,550,0.2,5500,1480,0.314,9.89,0.618872,24.45820657123154,429.62331860273764
244,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,78.39887093035661,431.1960240672746
245,1500,550,0.2,5500,1480,0.314,9.89,0.608088,15.085901738332694,416.0583211719996
246,1500,550,0.2,5500,1480,0.314,9.89,0.602696,3.0653365633353733,430.50285625778383
247,1500,550,0.2,5500,1480,0.314,9.89,0.618872,4.891641314831258,436.97145000725783
248,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,2.445820657123154,436.1415214834653
249,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,12.884927787373224,587.7832861438459
250,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,5.323822619703072,447.0579883801835
251,1500,550,0.2,5500,1480,0.314,9.89,0.610784,47.01257498183248,453.2740466864771
252,1500,550,0.2,5500,1480,0.314,9.89,0.6,4.497801408885327,511.9016124974824
253,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,17.12074460044703,577.324452738539
254,1500,550,0.2,5500,1480,0.314,9.89,0.61348,33.04864803967982,498.0186047800197
255,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,1.8424262353587468,452.8895663693222
256,1500,550,0.2,5500,1480,0.314,9.89,0.621568,4.081741590216177,514.7583627786862
257,1500,550,0.2,5500,1480,0.314,9.89,0.616176,51.795572497296625,443.1638463125534
258,1500,550,0.2,5500,1480,0.314,9.89,0.621568,30.572758228663183,461.4718270063426
259,1500,550,0.2,5500,1480,0.314,9.89,0.608088,26.998864348546984,586.2011280777856
260,1500,550,0.2,5500,1480,0.314,9.89,0.65392,5.549357633500711,465.5672509567392
261,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,18.986407157531193,547.0715160537128
262,1500,550,0.2,5500,1480,0.314,9.89,0.602696,27.397504271581305,536.1545084975696
263,1500,550,0.2,5500,1480,0.314,9.89,0.61348,11.006192957639144,565.4254523033053
264,1500,550,0.2,5500,1480,0.314,9.89,0.637744,29.349847888987547,461.09976508920937
265,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,8.377978730225285,516.0821365114979
266,1500,550,0.2,5500,1480,0.314,9.89,0.602696,7.1470781541365005,587.0981088359113
267,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,8.211847656588851,575.8231539651027
268,1500,550,0.2,5500,1480,0.314,9.89,0.61348,15.897834272470403,558.2833125829734
269,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,4.92591709880654,598.6653854730157
270,1500,550,0.2,5500,1480,0.314,9.89,0.621568,27.98607559902671,607.686957293889
271,1500,550,0.2,5500,1480,0.314,9.89,0.632352,58.699695777975094,444.8019040997197
272,1500,550,0.2,5500,1480,0.314,9.89,0.621568,11.006192957639144,620.4052323812899
273,1500,550,0.2,5500,1480,0.314,9.89,0.629656,19.818526805398598,624.8982251631943
274,1500,550,0.2,5500,1480,0.314,9.89,0.610784,12.683363523761555,575.362352597729
275,1500,550,0.2,5500,1480,0.314,9.89,0.608088,7.771676088981129,564.1128808100531
276,1500,550,0.2,5500,1480,0.314,9.89,0.6,16.581836112379218,571.5349317093961
277,1500,550,0.2,5500,1480,0.314,9.89,0.618872,46.71733102040708,467.98181736959367
278,1500,550,0.2,5500,1480,0.314,9.89,0.602696,20.266688580171962,581.9062572413992
279,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,12.22910328561577,509.1008432559069
280,1500,550,0.2,5500,1480,0.314,9.89,0.602696,21.22673892256073,595.4810315243064
281,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,1.4294156311197752,618.7768340249875
282,1500,550,0.2,5500,1480,0.314,9.89,0.610784,18.66315165625864,535.4963160268645
283,1500,550,0.2,5500,1480,0.314,9.89,0.656616,8.23813317782822,520.8824280086691
284,1500,550,0.2,5500,1480,0.314,9.89,0.6,31.706220254532383,580.9551453228186
285,1500,550,0.2,5500,1480,0.314,9.89,0.602696,14.953905460740518,603.6311260118596
286,1500,550,0.2,5500,1480,0.314,9.89,0.61348,30.056210652071197,558.375636386423
