,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
14401,SA_Diesel2012,Lowlands,271,75.67370002598041,99.0,0.6977180000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6977180000000001,258.7355,-0.8237819,7.095954400000001,5.299608999999999,11.571782,216587.66,764.67645,197848.94,0.0
14415,SA_PV2012,Lowlands,229,63.044579370587705,99.0,0.48527420000000004,99.0,99.0,MG_Hybrid_LowLands2025,0.48527420000000004,215.55534,-0.95918065,6.1674457,4.472932,9.681197000000001,130840.55,563.85016,121540.914,0.0
14418,SA_Diesel2012,Lowlands,275,65.35830755709425,99.0,0.8019284000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.8019284000000001,223.4662,-0.938759,6.3375564,4.31789,9.716688000000001,218906.81,891.98895,199329.39,0.0
14428,Non,Lowlands,205,116.17648121627457,99.0,0.36515415,99.0,99.0,MG_Hybrid_LowLands2025,0.36515415,397.21832,-1.2516678999999997,10.073668,9.0879755,17.909975,169909.62,399.14083999999997,158546.05,0.0
14434,SA_PV2012,Highlands,1254,58.946434306022866,99.0,99.0,0.44212619999999997,99.0,MG_Hybrid_HighLands2025,0.44212619999999997,201.54341000000002,-7.5271015,7.162947999999999,18.08354,17.719387,132438.2,487.10983,98173.77,0.0
14505,SA_PV2012,Highlands,2775,86.43380983385299,99.0,99.0,0.37022692,99.0,MG_Hybrid_HighLands2025,0.37022692,295.52533,-6.1140857,9.823133,24.231679999999997,27.940727000000003,155618.52,381.61075,112775.64,0.0
14517,MG_Diesel2012,Lowlands,151,172.85563259053058,99.0,0.23905909,99.0,99.0,MG_Hybrid_LowLands2025,0.23905909,664.0834,-1.3710065,14.240814000000002,15.019982999999998,27.88979,160347.34,230.0099,152745.75,0.0
14522,SA_Diesel2012,Lowlands,206,59.944826029789,99.0,0.46796990000000005,99.0,99.0,MG_Hybrid_LowLands2025,0.46796990000000005,204.957,-1.4607089,5.939458,4.778098,9.256846000000001,124209.125,564.2539,115647.79,0.0
14559,SA_PV2012,Lowlands,203,57.88064839047365,99.0,0.46850159999999996,99.0,99.0,MG_Hybrid_LowLands2025,0.46850159999999996,197.89938,-1.1904894,5.7877584,4.1912327000000005,8.788502000000001,119118.04,560.6109,110944.55,0.0
14582,SA_PV2012,Highlands,2440,78.27933330410055,99.0,99.0,0.38001615,99.0,MG_Hybrid_HighLands2025,0.38001615,267.6444,-7.0196977,9.034424000000001,22.330679999999997,24.345406,146606.25,398.16547,106566.76,0.0
